,activity,start_time,end_time,time_span,sequence_in_a_day,label
0,R1_Bed_to_Toilet,2009-02-02 07:15:17,2009-02-02 07:21:04,347,1,1
1,R1_Bed_to_Toilet,2009-02-03 07:29:34,2009-02-03 07:35:48,374,1,1
2,R1_Bed_to_Toilet,2009-02-04 07:26:00,2009-02-04 07:40:03,843,1,1
3,R1_Bed_to_Toilet,2009-02-05 06:51:44,2009-02-05 07:12:46,1262,1,1
4,R1_Bed_to_Toilet,2009-02-06 07:33:50,2009-02-06 07:53:46,1196,1,1
5,R1_Bed_to_Toilet,2009-02-09 07:49:25,2009-02-09 07:52:27,182,1,1
6,R1_Bed_to_Toilet,2009-02-10 10:28:20,2009-02-10 10:41:48,808,1,1
7,R1_Bed_to_Toilet,2009-02-16 22:58:03,2009-02-16 23:00:53,170,1,1
8,R1_Bed_to_Toilet,2009-02-16 23:19:23,2009-02-16 23:23:11,228,2,1
9,R1_Bed_to_Toilet,2009-02-17 00:28:23,2009-02-17 00:32:11,228,1,1
10,R1_Bed_to_Toilet,2009-02-17 01:17:23,2009-02-17 01:21:11,228,2,1
11,R1_Bed_to_Toilet,2009-02-17 03:00:23,2009-02-17 03:04:11,228,3,1
12,R1_Bed_to_Toilet,2009-02-17 05:35:23,2009-02-17 05:39:11,228,4,1
13,R1_Bed_to_Toilet,2009-02-17 08:35:46,2009-02-17 08:37:20,94,5,1
14,R1_Bed_to_Toilet,2009-02-17 22:38:01,2009-02-17 22:40:04,123,6,1
15,R1_Bed_to_Toilet,2009-02-17 23:49:23,2009-02-17 23:53:11,228,7,0
16,R1_Bed_to_Toilet,2009-02-18 01:47:23,2009-02-18 01:51:11,228,1,1
17,R1_Bed_to_Toilet,2009-02-18 03:48:23,2009-02-18 03:52:11,228,2,1
18,R1_Bed_to_Toilet,2009-02-18 06:14:23,2009-02-18 06:18:11,228,3,1
19,R1_Bed_to_Toilet,2009-02-18 07:45:29,2009-02-18 08:00:54,925,4,1
20,R1_Bed_to_Toilet,2009-02-18 23:23:23,2009-02-18 23:27:11,228,5,1
21,R1_Bed_to_Toilet,2009-02-19 01:40:23,2009-02-19 01:44:11,228,1,1
22,R1_Bed_to_Toilet,2009-02-19 03:05:23,2009-02-19 03:09:11,228,2,1
23,R1_Bed_to_Toilet,2009-02-19 05:39:23,2009-02-19 05:43:11,228,3,1
24,R1_Bed_to_Toilet,2009-02-19 06:47:17,2009-02-19 07:02:39,922,4,1
25,R1_Bed_to_Toilet,2009-02-20 05:28:16,2009-02-20 05:43:40,924,1,1
26,R1_Bed_to_Toilet,2009-02-23 07:45:44,2009-02-23 07:47:12,88,1,1
27,R1_Bed_to_Toilet,2009-02-24 07:58:00,2009-02-24 08:01:21,201,1,1
28,R1_Bed_to_Toilet,2009-03-02 22:18:03,2009-03-02 22:20:20,137,1,1
29,R1_Bed_to_Toilet,2009-03-03 07:08:43,2009-03-03 07:10:46,123,1,1
30,R1_Bed_to_Toilet,2009-03-04 08:08:15,2009-03-04 08:12:11,236,1,1
31,R1_Bed_to_Toilet,2009-03-04 08:24:23,2009-03-04 08:28:11,228,2,1
32,R1_Bed_to_Toilet,2009-03-04 09:08:23,2009-03-04 09:12:11,228,3,1
33,R1_Bed_to_Toilet,2009-03-04 10:18:23,2009-03-04 10:22:11,228,4,1
34,R1_Bed_to_Toilet,2009-03-04 13:08:23,2009-03-04 13:12:11,228,5,1
35,R1_Bed_to_Toilet,2009-03-04 19:09:23,2009-03-04 19:13:11,228,6,1
36,R1_Bed_to_Toilet,2009-03-04 20:18:23,2009-03-04 20:22:11,228,7,0
37,R1_Bed_to_Toilet,2009-03-04 22:22:23,2009-03-04 22:26:11,228,8,0
38,R1_Bed_to_Toilet,2009-03-05 06:43:33,2009-03-05 07:00:37,1024,1,1
39,R1_Bed_to_Toilet,2009-03-05 08:39:23,2009-03-05 08:43:11,228,2,1
40,R1_Bed_to_Toilet,2009-03-05 09:08:23,2009-03-05 09:12:11,228,3,1
41,R1_Bed_to_Toilet,2009-03-05 13:18:23,2009-03-05 13:22:11,228,4,1
42,R1_Bed_to_Toilet,2009-03-05 18:39:23,2009-03-05 18:43:11,228,5,1
43,R1_Bed_to_Toilet,2009-03-05 21:09:23,2009-03-05 21:13:11,228,6,1
44,R1_Bed_to_Toilet,2009-03-05 22:34:32,2009-03-05 22:38:11,219,7,0
45,R1_Bed_to_Toilet,2009-03-06 07:38:43,2009-03-06 08:03:00,1457,1,0
46,R1_Bed_to_Toilet,2009-03-09 07:44:55,2009-03-09 08:07:18,1343,1,0
47,R1_Bed_to_Toilet,2009-03-11 08:18:19,2009-03-11 08:19:27,68,1,1
48,R1_Bed_to_Toilet,2009-03-12 06:50:47,2009-03-12 07:11:43,1256,1,1
