start_time,time_span,freq,time_span,freq,time_span,freq,time_span,freq,time_span,freq,time_span,freq,y_pred
2009-02-02,347,1,1050,1,5984,3,2968,1,13088,2,27987,1,0
2009-02-03,374,1,0,0,35486,1,4140,1,4346,1,27048,1,0
2009-02-04,843,1,390,1,8341,4,8333,1,6161,1,28562,1,0
2009-02-05,1262,1,236,1,2414,4,4834,1,11567,1,30119,1,0
2009-02-06,1196,1,1177,1,5330,4,0,0,11427,3,30623,1,0
2009-02-09,182,1,1481,2,2606,3,13699,1,13004,2,45361,1,0
2009-02-10,808,1,261,1,21265,5,6992,1,2610,2,0,0,1
2009-02-11,0,0,0,0,31237,1,1963,1,0,0,0,0,1
2009-02-12,0,0,0,0,44109,2,2598,1,0,0,0,0,1
2009-02-13,0,0,0,0,26768,2,6815,1,0,0,0,0,1
2009-02-16,398,2,69,1,2190,1,0,0,7089,1,35628,1,0
2009-02-17,1357,7,1371,2,5206,2,6825,1,11807,1,32570,1,0
2009-02-18,1837,5,384,1,11772,2,19742,1,7197,1,28834,1,0
2009-02-19,1606,4,235,1,9256,4,0,0,6422,2,30340,1,0
2009-02-20,924,1,1045,1,4522,2,0,0,11652,2,0,0,1
2009-02-21,0,0,0,0,0,0,0,0,0,0,25490,1,0
2009-02-23,88,1,657,2,5899,3,6668,2,3546,1,28050,1,0
2009-02-24,201,1,1652,1,3176,3,14576,1,5941,3,35728,1,0
2009-02-25,0,0,1698,1,8432,3,5218,1,3452,1,33015,1,0
2009-02-26,0,0,1406,1,5938,4,3586,1,18592,3,29638,1,0
2009-02-27,0,0,1084,1,4961,3,14203,1,23733,2,0,0,1
2009-02-28,0,0,0,0,0,0,0,0,0,0,27333,1,0
2009-03-02,137,1,1646,2,2460,1,0,0,8814,1,37848,1,0
2009-03-03,123,1,1527,1,5191,3,0,0,23501,2,32251,1,0
2009-03-04,1832,8,1492,1,7626,2,11852,2,20478,3,0,0,1
2009-03-05,2383,7,1286,1,8308,5,0,0,10697,2,60716,2,0
2009-03-06,1457,1,716,1,5290,3,0,0,9627,1,33330,1,0
2009-03-09,1343,1,373,1,12667,2,2700,1,3986,2,31032,1,0
2009-03-10,0,0,2488,1,12035,4,1800,1,9355,1,33895,1,0
2009-03-11,68,1,1602,2,5752,3,2019,1,13608,1,31096,1,0
2009-03-12,1256,1,497,1,5229,3,6959,1,20325,3,27573,1,0
2009-03-13,1059,1,1022,3,1167,1,0,0,1157,1,0,0,1
2009-03-23,116,1,1218,2,4626,3,3941,1,13404,3,38227,1,0
2009-03-24,0,0,984,1,7317,4,0,0,552,1,33869,1,0
2009-03-25,1399,1,2379,2,11149,6,11117,1,0,0,35422,1,0
2009-03-26,89,1,1553,2,8664,4,13107,1,8676,1,33647,1,0
2009-03-27,83,1,1979,1,2620,3,8340,1,19607,1,0,0,1
2009-03-28,0,0,0,0,0,0,0,0,0,0,28657,1,0
2009-03-30,0,0,0,0,7356,2,0,0,8044,2,35666,1,0
2009-03-31,120,1,2017,1,6089,2,0,0,8259,2,32654,1,0
2009-04-01,1446,1,488,1,2490,2,1690,1,0,0,35821,1,0
2009-04-02,0,0,2190,1,6334,3,4611,1,16668,2,20842,1,0
2009-04-03,1819,4,147,1,7144,5,2435,2,4028,1,26475,1,0
